Sector,ETF,Component
Healthcare,VHT,JNJ
Healthcare,VHT,MRK
Healthcare,VHT,ABBV
Healthcare,VHT,TMO
Healthcare,VHT,ABT
Healthcare,VHT,PFE
Healthcare,IBB,VRTX
Healthcare,IBB,REGN
Healthcare,IBB,AMGN
Healthcare,IBB,GILD
Healthcare,IBB,BIIB
Healthcare,IBB,MRNA
Healthcare,IBB,ALNY
Healthcare,IBB,INCY
Healthcare,IHI,ABT
Healthcare,IHI,TMO
Healthcare,IHI,ISRG
Healthcare,IHI,MDT
Healthcare,IHI,SYK
Healthcare,IHI,BSX
Healthcare,IHI,EW
Healthcare,IHI,DXCM
Healthcare,PPH,LLY
Healthcare,PPH,NVO
Healthcare,PPH,JNJ
Healthcare,PPH,MRK
Healthcare,PPH,ABBV
Healthcare,PPH,NVS
Healthcare,PPH,AZN
Healthcare,PPH,PFE
Healthcare,FHL,LLY
Healthcare,FHL,UNH
Healthcare,FHL,JNJ
Healthcare,FHL,MRK
Healthcare,FHL,ABBV
Healthcare,FHL,TMO
Healthcare,FHL,ABT
Healthcare,FHL,PFE
Healthcare,XHE,EW
Healthcare,XHE,PODD
Healthcare,XHE,DXCM
Healthcare,XHE,RMD
Healthcare,XHE,IDXX
Healthcare,XHE,ALGN
Healthcare,XHE,WST
Healthcare,XHE,STE
Healthcare,IHF,UNH
Healthcare,IHF,ELV
Healthcare,IHF,CVS
Healthcare,IHF,CI
Healthcare,IHF,HCA
Healthcare,IHF,HUM
Healthcare,IHF,CNC
Healthcare,IHF,MOH
Healthcare,XBI,VRTX
Healthcare,XBI,IONS
Healthcare,XBI,BCRX
Healthcare,XBI,VKTX
Healthcare,XBI,BMRN
Healthcare,XBI,BIIB
Healthcare,XBI,ALNY
Healthcare,XBI,SRPT
Healthcare,ARKG,CRSP
Healthcare,ARKG,TDOC
Healthcare,ARKG,PACB
Healthcare,ARKG,EXAS
Healthcare,ARKG,IONS
Healthcare,ARKG,VRTX
Healthcare,ARKG,REGN
Healthcare,ARKG,BEAM
Healthcare,FBT,VRTX
Healthcare,FBT,REGN
Healthcare,FBT,AMGN
Healthcare,FBT,GILD
Healthcare,FBT,BIIB
Healthcare,FBT,MRNA
Healthcare,FBT,ALNY
Healthcare,FBT,INCY
Healthcare,IDNA,LLY
Healthcare,IDNA,VRTX
Healthcare,IDNA,REGN
Healthcare,IDNA,MRNA
Healthcare,IDNA,ALNY
Healthcare,IDNA,BIIB
Healthcare,IDNA,CRSP
Healthcare,IDNA,IONS
Healthcare,IYH,LLY
Healthcare,IYH,UNH
Healthcare,IYH,JNJ
Healthcare,IYH,MRK
Healthcare,IYH,ABBV
Healthcare,IYH,TMO
Healthcare,IYH,ABT
Healthcare,IYH,DHR
Healthcare,IXJ,LLY
Healthcare,IXJ,UNH
Healthcare,IXJ,NVO
Healthcare,IXJ,JNJ
Healthcare,IXJ,MRK
Healthcare,IXJ,TMO
Healthcare,IXJ,AZN
Healthcare,IXJ,NVS
Healthcare,RYH,LLY
Healthcare,RYH,UNH
Healthcare,RYH,JNJ
Healthcare,RYH,MRK
Healthcare,RYH,ABBV
Healthcare,RYH,TMO
Healthcare,RYH,ABT
Healthcare,RYH,DHR
Healthcare,GNOM,NVTA
Healthcare,GNOM,TWST
Healthcare,GNOM,PACB
Healthcare,GNOM,CRSP
Healthcare,GNOM,FATE
Healthcare,GNOM,BEAM
Healthcare,GNOM,EDIT
Healthcare,GNOM,NTLA
Healthcare,HTEC,GEHC
Healthcare,HTEC,VEEV
Healthcare,HTEC,IDXX
Healthcare,HTEC,DXCM
Healthcare,HTEC,HCA
Healthcare,HTEC,TDOC
Healthcare,HTEC,ISRG
Healthcare,HTEC,TMO
Healthcare,BTEC,VRTX
Healthcare,BTEC,REGN
Healthcare,BTEC,AMGN
Healthcare,BTEC,GILD
Healthcare,BTEC,BIIB
Healthcare,BTEC,MRNA
Healthcare,BTEC,ALNY
Healthcare,BTEC,SRPT
Healthcare,DRUG,LLY
Healthcare,DRUG,MRK
Healthcare,DRUG,JNJ
Healthcare,DRUG,PFE
Healthcare,DRUG,NVO
Healthcare,DRUG,NVS
Healthcare,DRUG,AZN
Healthcare,DRUG,GSK
Healthcare,GRNB,LLY
Healthcare,GRNB,VRTX
Healthcare,GRNB,REGN
Healthcare,GRNB,ALNY
Healthcare,GRNB,MRNA
Healthcare,GRNB,INCY
Healthcare,GRNB,IONS
Healthcare,GRNB,BIIB
Healthcare,PBE,LLY
Healthcare,PBE,MRK
Healthcare,PBE,AMGN
Healthcare,PBE,VRTX
Healthcare,PBE,REGN
Healthcare,PBE,GILD
Healthcare,PBE,INCY
Healthcare,PBE,BIIB
Healthcare,GERM,PFE
Healthcare,GERM,MRNA
Healthcare,GERM,BNTX
Healthcare,GERM,NVAX
Healthcare,GERM,INO
Healthcare,GERM,GILD
Healthcare,GERM,GSK
Healthcare,GERM,AZN
Healthcare,LABU,VRTX
Healthcare,LABU,REGN
Healthcare,LABU,GILD
Healthcare,LABU,AMGN
Healthcare,LABU,BIIB
Healthcare,LABU,ALNY
Healthcare,LABU,INCY
Healthcare,LABU,BMRN
Healthcare,BBH,UNH
Healthcare,BBH,LLY
Healthcare,BBH,JNJ
Healthcare,BBH,ABBV
Healthcare,BBH,MRK
Healthcare,BBH,TMO
Healthcare,BBH,ABT
Healthcare,BBH,ISRG
Financials,XLF,BRK-B
Financials,XLF,JPM
Financials,XLF,V
Financials,XLF,MA
Financials,XLF,BAC
Financials,XLF,WFC
Financials,XLF,GS
Financials,XLF,MS
Financials,VFH,JPM
Financials,VFH,BAC
Financials,VFH,BRK-B
Financials,VFH,V
Financials,VFH,MA
Financials,VFH,WFC
Financials,VFH,MS
Financials,VFH,GS
Financials,KRE,NYCB
Financials,KRE,MTB
Financials,KRE,RF
Financials,KRE,KEY
Financials,KRE,CFG
Financials,KRE,HBAN
Financials,KRE,ZION
Financials,KRE,FHN
Financials,KBE,JPM
Financials,KBE,BAC
Financials,KBE,WFC
Financials,KBE,C
Financials,KBE,GS
Financials,KBE,MS
Financials,KBE,USB
Financials,KBE,PNC
Financials,IYF,BRK-B
Financials,IYF,JPM
Financials,IYF,V
Financials,IYF,MA
Financials,IYF,BAC
Financials,IYF,WFC
Financials,IYF,GS
Financials,IYF,MS
Financials,FNCL,BRK-B
Financials,FNCL,JPM
Financials,FNCL,V
Financials,FNCL,MA
Financials,FNCL,BAC
Financials,FNCL,WFC
Financials,FNCL,GS
Financials,FNCL,MS
Financials,IAT,GS
Financials,IAT,MS
Financials,IAT,SCHW
Financials,IAT,ICE
Financials,IAT,CME
Financials,IAT,NDAQ
Financials,IAT,IBKR
Financials,IAT,COIN
Financials,KIE,PGR
Financials,KIE,TRV
Financials,KIE,ALL
Financials,KIE,CB
Financials,KIE,AIG
Financials,KIE,MET
Financials,KIE,PRU
Financials,KIE,HIG
Financials,IYG,BRK-B
Financials,IYG,JPM
Financials,IYG,V
Financials,IYG,MA
Financials,IYG,BAC
Financials,IYG,WFC
Financials,IYG,GS
Financials,IYG,MS
Financials,IXG,BRK-B
Financials,IXG,JPM
Financials,IXG,BAC
Financials,IXG,WFC
Financials,IXG,RY
Financials,IXG,TD
Financials,IXG,HSBC
Financials,IXG,C
Financials,IPAY,PYPL
Financials,IPAY,SQ
Financials,IPAY,V
Financials,IPAY,MA
Financials,IPAY,GPN
Financials,IPAY,FISV
Financials,IPAY,FIS
Financials,IPAY,FLT
Financials,RYF,BRK-B
Financials,RYF,JPM
Financials,RYF,V
Financials,RYF,MA
Financials,RYF,BAC
Financials,RYF,WFC
Financials,RYF,GS
Financials,RYF,MS
Financials,IAK,PGR
Financials,IAK,CB
Financials,IAK,TRV
Financials,IAK,ALL
Financials,IAK,AIG
Financials,IAK,MET
Financials,IAK,AFL
Financials,IAK,PRU
Financials,KBWB,JPM
Financials,KBWB,BAC
Financials,KBWB,WFC
Financials,KBWB,MS
Financials,KBWB,GS
Financials,KBWB,C
Financials,KBWB,USB
Financials,KBWB,PNC
Financials,KBWP,PGR
Financials,KBWP,CB
Financials,KBWP,TRV
Financials,KBWP,ALL
Financials,KBWP,AIG
Financials,KBWP,WRB
Financials,KBWP,HIG
Financials,KBWP,CINF
Financials,PSCF,FHN
Financials,PSCF,WTFC
Financials,PSCF,BOKF
Financials,PSCF,CATY
Financials,PSCF,SFNC
Financials,PSCF,WAL
Financials,PSCF,TCBI
Financials,PSCF,UMPQ
Financials,DPAY,V
Financials,DPAY,MA
Financials,DPAY,PYPL
Financials,DPAY,SQ
Financials,DPAY,ADBE
Financials,DPAY,INTU
Financials,DPAY,FISV
Financials,DPAY,GPN
Financials,QFIN,V
Financials,QFIN,MA
Financials,QFIN,AXP
Financials,QFIN,PYPL
Financials,QFIN,SQ
Financials,QFIN,COIN
Financials,QFIN,BLK
Financials,QFIN,GS
Financials,TPAY,SQ
Financials,TPAY,PYPL
Financials,TPAY,V
Financials,TPAY,MA
Financials,TPAY,ADBE
Financials,TPAY,INTU
Financials,TPAY,SHOP
Financials,TPAY,MELI
Financials,BNKD,JPM
Financials,BNKD,BAC
Financials,BNKD,WFC
Financials,BNKD,C
Financials,BNKD,GS
Financials,BNKD,MS
Financials,BNKD,USB
Financials,BNKD,PNC
Financials,FAS,BRK-B
Financials,FAS,JPM
Financials,FAS,V
Financials,FAS,MA
Financials,FAS,BAC
Financials,FAS,WFC
Financials,FAS,GS
Financials,FAS,MS
Consumer_Discretionary,XLY,AMZN
Consumer_Discretionary,XLY,TSLA
Consumer_Discretionary,XLY,HD
Consumer_Discretionary,XLY,MCD
Consumer_Discretionary,XLY,LOW
Consumer_Discretionary,XLY,BKNG
Consumer_Discretionary,XLY,SBUX
Consumer_Discretionary,XLY,NKE
Consumer_Discretionary,VCR,AMZN
Consumer_Discretionary,VCR,TSLA
Consumer_Discretionary,VCR,HD
Consumer_Discretionary,VCR,MCD
Consumer_Discretionary,VCR,LOW
Consumer_Discretionary,VCR,BKNG
Consumer_Discretionary,VCR,SBUX
Consumer_Discretionary,VCR,NKE
Consumer_Discretionary,FDIS,AMZN
Consumer_Discretionary,FDIS,TSLA
Consumer_Discretionary,FDIS,HD
Consumer_Discretionary,FDIS,MCD
Consumer_Discretionary,FDIS,LOW
Consumer_Discretionary,FDIS,BKNG
Consumer_Discretionary,FDIS,SBUX
Consumer_Discretionary,FDIS,NKE
Consumer_Discretionary,IYC,AMZN
Consumer_Discretionary,IYC,TSLA
Consumer_Discretionary,IYC,HD
Consumer_Discretionary,IYC,MCD
Consumer_Discretionary,IYC,LOW
Consumer_Discretionary,IYC,NKE
Consumer_Discretionary,IYC,BKNG
Consumer_Discretionary,IYC,SBUX
Consumer_Discretionary,PEJ,DIS
Consumer_Discretionary,PEJ,CMCSA
Consumer_Discretionary,PEJ,NFLX
Consumer_Discretionary,PEJ,LYV
Consumer_Discretionary,PEJ,MAR
Consumer_Discretionary,PEJ,HLT
Consumer_Discretionary,PEJ,BKNG
Consumer_Discretionary,PEJ,CZR
Consumer_Discretionary,XRT,WMT
Consumer_Discretionary,XRT,HD
Consumer_Discretionary,XRT,COST
Consumer_Discretionary,XRT,LOW
Consumer_Discretionary,XRT,TJX
Consumer_Discretionary,XRT,TGT
Consumer_Discretionary,XRT,ORLY
Consumer_Discretionary,XRT,AZO
Consumer_Discretionary,IBUY,AMZN
Consumer_Discretionary,IBUY,UBER
Consumer_Discretionary,IBUY,DASH
Consumer_Discretionary,IBUY,W
Consumer_Discretionary,IBUY,CHWY
Consumer_Discretionary,IBUY,ETSY
Consumer_Discretionary,IBUY,CVNA
Consumer_Discretionary,IBUY,SHOP
Consumer_Discretionary,BJK,LVS
Consumer_Discretionary,BJK,CZR
Consumer_Discretionary,BJK,WYNN
Consumer_Discretionary,BJK,MGM
Consumer_Discretionary,BJK,PENN
Consumer_Discretionary,BJK,DKNG
Consumer_Discretionary,BJK,BALY
Consumer_Discretionary,BJK,EVRI
Consumer_Discretionary,ONLN,AMZN
Consumer_Discretionary,ONLN,BABA
Consumer_Discretionary,ONLN,ETSY
Consumer_Discretionary,ONLN,EBAY
Consumer_Discretionary,ONLN,SHOP
Consumer_Discretionary,ONLN,MELI
Consumer_Discretionary,ONLN,CPNG
Consumer_Discretionary,ONLN,W
Consumer_Discretionary,AWAY,BKNG
Consumer_Discretionary,AWAY,UBER
Consumer_Discretionary,AWAY,ABNB
Consumer_Discretionary,AWAY,MAR
Consumer_Discretionary,AWAY,EXPE
Consumer_Discretionary,AWAY,HLT
Consumer_Discretionary,AWAY,DAL
Consumer_Discretionary,AWAY,LUV
Consumer_Discretionary,IYT,UBER
Consumer_Discretionary,IYT,UNP
Consumer_Discretionary,IYT,UPS
Consumer_Discretionary,IYT,CSX
Consumer_Discretionary,IYT,NSC
Consumer_Discretionary,IYT,FDX
Consumer_Discretionary,IYT,ODFL
Consumer_Discretionary,IYT,DAL
Consumer_Discretionary,RTH,AMZN
Consumer_Discretionary,RTH,HD
Consumer_Discretionary,RTH,WMT
Consumer_Discretionary,RTH,COST
Consumer_Discretionary,RTH,LOW
Consumer_Discretionary,RTH,TGT
Consumer_Discretionary,RTH,TJX
Consumer_Discretionary,RTH,ORLY
Consumer_Discretionary,PBS,DIS
Consumer_Discretionary,PBS,NFLX
Consumer_Discretionary,PBS,CMCSA
Consumer_Discretionary,PBS,GOOGL
Consumer_Discretionary,PBS,META
Consumer_Discretionary,PBS,PARA
Consumer_Discretionary,PBS,WBD
Consumer_Discretionary,PBS,LYV
Consumer_Discretionary,XHB,LEN
Consumer_Discretionary,XHB,DHI
Consumer_Discretionary,XHB,NVR
Consumer_Discretionary,XHB,PHM
Consumer_Discretionary,XHB,BLD
Consumer_Discretionary,XHB,TOL
Consumer_Discretionary,XHB,MTH
Consumer_Discretionary,XHB,TMHC
Consumer_Discretionary,WANT,AMZN
Consumer_Discretionary,WANT,TSLA
Consumer_Discretionary,WANT,HD
Consumer_Discretionary,WANT,NKE
Consumer_Discretionary,WANT,MCD
Consumer_Discretionary,WANT,SBUX
Consumer_Discretionary,WANT,LOW
Consumer_Discretionary,WANT,TJX
Consumer_Discretionary,LUXE,TSLA
Consumer_Discretionary,LUXE,EL
Consumer_Discretionary,LUXE,NKE
Consumer_Discretionary,LUXE,LULU
Consumer_Discretionary,LUXE,TJX
Consumer_Discretionary,LUXE,RL
Consumer_Discretionary,LUXE,TPR
Consumer_Discretionary,LUXE,CPRI
Consumer_Discretionary,CARZ,TSLA
Consumer_Discretionary,CARZ,GM
Consumer_Discretionary,CARZ,F
Consumer_Discretionary,CARZ,RIVN
Consumer_Discretionary,CARZ,LCID
Consumer_Discretionary,CARZ,NIO
Consumer_Discretionary,CARZ,XPEV
Consumer_Discretionary,CARZ,LI
Consumer_Discretionary,BETZ,PENN
Consumer_Discretionary,BETZ,DKNG
Consumer_Discretionary,BETZ,MGM
Consumer_Discretionary,BETZ,CZR
Consumer_Discretionary,BETZ,WYNN
Consumer_Discretionary,BETZ,LVS
Consumer_Discretionary,BETZ,EVRI
Consumer_Discretionary,BETZ,BALY
Consumer_Discretionary,CLIX,AMZN
Consumer_Discretionary,CLIX,BABA
Consumer_Discretionary,CLIX,ETSY
Consumer_Discretionary,CLIX,EBAY
Consumer_Discretionary,CLIX,MELI
Consumer_Discretionary,CLIX,SHOP
Consumer_Discretionary,CLIX,CPNG
Consumer_Discretionary,CLIX,W
Consumer_Discretionary,BUZZ,TSLA
Consumer_Discretionary,BUZZ,AMZN
Consumer_Discretionary,BUZZ,AAPL
Consumer_Discretionary,BUZZ,GOOGL
Consumer_Discretionary,BUZZ,NVDA
Consumer_Discretionary,BUZZ,META
Consumer_Discretionary,BUZZ,PLTR
Consumer_Discretionary,BUZZ,AMD
Consumer_Discretionary,PASS,DIS
Consumer_Discretionary,PASS,NFLX
Consumer_Discretionary,PASS,ROKU
Consumer_Discretionary,PASS,SPOT
Consumer_Discretionary,PASS,TTWO
Consumer_Discretionary,PASS,EA
Consumer_Discretionary,PASS,RBLX
Consumer_Discretionary,PASS,U
Consumer_Discretionary,GAMR,TTWO
Consumer_Discretionary,GAMR,EA
Consumer_Discretionary,GAMR,RBLX
Consumer_Discretionary,GAMR,ATVI
Consumer_Discretionary,GAMR,U
Consumer_Discretionary,GAMR,ZNGA
Consumer_Discretionary,GAMR,PLTK
Consumer_Discretionary,GAMR,DKNG
Energy,XLE,XOM
Energy,XLE,CVX
Energy,XLE,COP
Energy,XLE,EOG
Energy,XLE,SLB
Energy,XLE,MPC
Energy,XLE,PSX
Energy,XLE,VLO
Energy,IYE,XOM
Energy,IYE,CVX
Energy,IYE,COP
Energy,IYE,SLB
Energy,IYE,EOG
Energy,IYE,MPC
Energy,IYE,PSX
Energy,IYE,OXY
Energy,OIH,SLB
Energy,OIH,HAL
Energy,OIH,BKR
Energy,OIH,FTI
Energy,OIH,NOV
Energy,OIH,PTEN
Energy,OIH,HP
Energy,OIH,CHX
Energy,XOP,COP
Energy,XOP,EOG
Energy,XOP,DVN
Energy,XOP,MRO
Energy,XOP,FANG
Energy,XOP,APA
Energy,XOP,MTDR
Energy,XOP,SM
Energy,FCG,EQT
Energy,FCG,CNX
Energy,FCG,AR
Energy,FCG,RRC
Energy,FCG,CTRA
Energy,FCG,SWN
Energy,FCG,CHK
Energy,FCG,MGY
Energy,AMLP,EPD
Energy,AMLP,ET
Energy,AMLP,MPLX
Energy,AMLP,PAA
Energy,AMLP,WES
Energy,AMLP,WMB
Energy,AMLP,KMI
Energy,AMLP,OKE
Energy,ERX,XOM
Energy,ERX,CVX
Energy,ERX,COP
Energy,ERX,EOG
Energy,ERX,SLB
Energy,ERX,MPC
Energy,ERX,PSX
Energy,ERX,VLO
Energy,DRIP,XOM
Energy,DRIP,CVX
Energy,DRIP,COP
Energy,DRIP,EOG
Energy,DRIP,SLB
Energy,DRIP,MPC
Energy,DRIP,PSX
Energy,DRIP,VLO
Energy,IEO,XOM
Energy,IEO,CVX
Energy,IEO,COP
Energy,IEO,SLB
Energy,IEO,BP
Energy,IEO,TTE
Energy,IEO,SHEL
Energy,IEO,EOG
Energy,PXE,COP
Energy,PXE,EOG
Energy,PXE,DVN
Energy,PXE,MRO
Energy,PXE,FANG
Energy,PXE,APA
Energy,PXE,OXY
Energy,PXE,HES
Energy,RYE,XOM
Energy,RYE,CVX
Energy,RYE,COP
Energy,RYE,EOG
Energy,RYE,SLB
Energy,RYE,MPC
Energy,RYE,PSX
Energy,RYE,VLO
Energy,ICLN,ENPH
Energy,ICLN,FSLR
Energy,ICLN,PLUG
Energy,ICLN,SEDG
Energy,ICLN,RUN
Energy,ICLN,NEE
Energy,ICLN,DUK
Energy,ICLN,SO
Energy,TAN,ENPH
Energy,TAN,FSLR
Energy,TAN,SEDG
Energy,TAN,RUN
Energy,TAN,NOVA
Energy,TAN,ARRY
Energy,TAN,CSIQ
Energy,TAN,JKS
Energy,PBW,ENPH
Energy,PBW,PLUG
Energy,PBW,FSLR
Energy,PBW,SEDG
Energy,PBW,RUN
Energy,PBW,BE
Energy,PBW,CHPT
Energy,PBW,QS
Energy,ACES,TSLA
Energy,ACES,ENPH
Energy,ACES,FSLR
Energy,ACES,NEE
Energy,ACES,PLUG
Energy,ACES,ALB
Energy,ACES,SEDG
Energy,ACES,RUN
Energy,QCLN,TSLA
Energy,QCLN,ENPH
Energy,QCLN,FSLR
Energy,QCLN,NEE
Energy,QCLN,NIO
Energy,QCLN,PLUG
Energy,QCLN,ON
Energy,QCLN,ALB
Energy,SMOG,PLUG
Energy,SMOG,BE
Energy,SMOG,FCEL
Energy,SMOG,BLDP
Energy,SMOG,NEL
Energy,SMOG,HYSR
Energy,SMOG,HYLN
Energy,SMOG,NKLA
